project,low_risk,intermediate_risk,high_risk
STAD,"WSIs with a lower survival risk of stomach adenocarcinoma from the primary lesion are generally associated with early-stage tumors, particularly TMN stages I and sometimes II, where the tumor is confined to the stomach wall with minimal or no lymph node involvement and no distant metastasis. There is usually an absence of lymphovascular invasion (LVI) and perineural invasion (PNI), indicating that the tumor has not yet begun to spread aggressively. The tumor cells are often well-differentiated, forming well-organized glandular structures with low nuclear atypia and fewer mitotic figures. Tumor margins are typically well-defined, with little to no invasion into surrounding tissues. The stromal reaction is mild, reflecting a limited interaction between tumor cells and the surrounding stroma. Necrosis and debris are minimal or absent, suggesting a slower-growing tumor with less aggressive behavior. These histopathological features are indicative of a better prognosis, with a higher likelihood of successful treatment and prolonged survival.","WSIs with a medium survival risk of stomach adenocarcinoma from the primary lesion typically exhibit moderately advanced TMN stages, such as stage II, where the tumor has penetrated the muscularis propria but has limited lymph node involvement and no distant metastasis. There might be moderate lymphovascular invasion (LVI) or perineural invasion (PNI), suggesting some level of tumor aggressiveness but not as severe as in higher-risk cases. The tumor cells might be moderately differentiated, with a mix of well-formed and irregular glandular structures. The nuclear atypia is usually moderate, with less frequent mitotic figures compared to higher-risk cases. Tumor margins might show some infiltration, but the invasion into surrounding tissues is less pronounced. The stromal reaction is present but less intense, indicating a balance between tumor and stromal elements. Necrosis and debris are present but more focal, indicating areas of rapid growth interspersed with regions of slower progression. These features together suggest an intermediate prognosis, where the tumor is aggressive but not the most severe.","The characteristics of WSIs with a higher survival risk of stomach adenocarcinoma from the primary lesion often include features such as advanced tumor stages, particularly TMN stages III and IV, where the tumor has spread beyond the stomach to nearby lymph nodes or distant organs. The presence of lymphovascular invasion (LVI) and perineural invasion (PNI) is common, indicating that cancer cells have infiltrated blood vessels or nerves, which are associated with aggressive tumor behavior. Histopathologically, these images may show poorly differentiated or undifferentiated tumor cells with high nuclear atypia and irregular glandular formations. There is often evidence of extensive necrosis and cellular debris, suggesting rapid tumor growth and poor response to treatment. The tumor margins may appear infiltrative, with cancer cells invading surrounding tissues, and there is usually an intense desmoplastic reaction or stromal response, indicating a high level of tumor-stroma interaction. The presence of signet ring cells or mucinous components can also be indicative of a more aggressive form of stomach adenocarcinoma, further correlating with a poor prognosis."
BRCA,"A lower survival risk of breast invasive carcinoma can be associated with well-differentiated tumor cells, indicating a lower tumor grade, where the cells retain a structure similar to normal breast tissue. The tumor size is usually small, often classified within the early T stages (e.g., T1). There is an absence of lymphovascular invasion (LVI) and perineural invasion (PNI), indicating that the cancer has not spread to nearby blood vessels or nerves. The tumor margins are well-defined, suggesting limited infiltration into surrounding tissues. Additionally, the absence of necrosis and minimal stromal reaction contribute to a more favorable prognosis. Lymph nodes might not be involved (N0 stage), and there is typically no evidence of distant metastasis (M0 stage).","A medium survival risk of breast invasive carcinoma often presents with moderately differentiated tumor cells, which show some degree of abnormality but still resemble normal tissue to some extent. The tumor size may be moderate, falling within T2 stages, indicating a larger tumor but still confined to the breast. There might be evidence of lymphovascular invasion (LVI) and mild perineural invasion (PNI), suggesting a limited spread of cancer cells beyond the primary tumor. Tumor margins might be partially infiltrative, indicating some degree of spread into surrounding tissues. There could be a moderate inflammatory response and stromal reaction, with some evidence of necrosis. Regional lymph nodes may be involved (N1 stage), but there is typically no distant metastasis (M0 stage), placing the overall survival risk in a medium category.","A higher survival risk of breast invasive carcinoma is often indicated by poorly differentiated or undifferentiated tumor cells, reflecting a high tumor grade with significant abnormality in cell structure and organization. The tumor size is usually large, falling within higher T stages (e.g., T3 or T4), with extensive invasion beyond the primary site. There is often the presence of lymphovascular invasion (LVI) and perineural invasion (PNI), suggesting an advanced spread of cancer cells through blood vessels and nerves. The tumor margins are infiltrative, indicating aggressive behavior with significant invasion into surrounding tissues. There is typically a strong inflammatory response and stromal reaction, along with areas of necrosis and debris. Lymph nodes are often involved (N2 or N3 stage), and there may be evidence of distant metastasis (M1 stage), all contributing to a lower overall survival rate."
BLCA,"A lower survival risk in Bladder Urothelial Carcinoma typically presents with low-grade tumors, characterized by well-differentiated cells with minimal nuclear atypia and regular architectural patterns. The tumor size is generally smaller, and there is an absence of lymphovascular invasion (LVI) and perineural invasion (PNI). Tumors at this risk level often have well-defined margins, suggesting limited invasive potential. TNM stage is usually lower (e.g., T1), with the tumor confined to the bladder lining and no involvement of surrounding tissues or lymph nodes. The inflammatory response and stromal reaction are mild, and necrosis and debris are minimal or absent, further indicating a favorable prognosis.","A medium survival risk in Bladder Urothelial Carcinoma is often associated with moderate tumor grade, where the cells show moderate atypia and less pronounced nuclear abnormalities compared to high-grade lesions. Tumor size might be moderate, and while lymphovascular invasion (LVI) may be present, it is typically less extensive. Perineural invasion (PNI) may be observed but not as widespread as in cases with higher survival risk. TNM staging may range from T2 to T3, indicating local invasion but limited involvement of distant tissues or lymph nodes. The tumor margins might be less infiltrative, with moderate inflammatory response and some degree of stromal reaction. Areas of necrosis might be present but less extensive than in higher-risk cases.","A higher survival risk in Bladder Urothelial Carcinoma may be indicated by features such as a high tumor grade with pronounced nuclear atypia and irregular cell structures, large tumor size, and the presence of lymphovascular invasion (LVI). Tumors often exhibit perineural invasion (PNI), which is associated with aggressive behavior. Additionally, the presence of extensive necrosis and debris within the tumor, as well as an advanced TNM stage (e.g., T3 or T4 with involvement of surrounding structures or lymph nodes), may suggest poor survival outcomes. Tumors with infiltrative and poorly defined margins, combined with a pronounced inflammatory response and desmoplastic reaction in the stroma, are also typical of lesions associated with higher mortality risk."
COADREAD,"Lower survival risk in Colon and Rectum adenocarcinoma is associated with more favorable tumor features. The TMN stage typically indicates early-stage disease, with the tumor confined to the colon or rectum without lymph node involvement (N0) or distant metastasis (M0). Tumors are well-differentiated, exhibiting well-formed glandular structures with minimal nuclear atypia and few mitotic figures. There is generally no lymphovascular invasion (LVI) or perineural invasion (PNI), and the tumor margins are well-defined, indicating a less aggressive growth pattern. The inflammatory response and stromal reaction are mild, further supporting a more favorable prognosis and a lower risk of disease progression.","Medium survival risk in Colon and Rectum adenocarcinoma typically features intermediate pathological characteristics. The TMN stage might indicate localized disease with limited lymph node involvement (lower N stage) and no evidence of distant metastasis (M0). Tumors may be moderately differentiated, showing a balance between organized glandular structures and areas of nuclear atypia. Lymphovascular invasion (LVI) or perineural invasion (PNI) may be present but not widespread. The tumor margins might display a mixed pattern of infiltration and clear boundaries, with some degree of inflammatory response and a moderate amount of stromal desmoplasia, suggesting a prognosis that is neither highly favorable nor extremely poor.","Higher survival risk in Colon and Rectum adenocarcinoma is typically associated with more advanced disease and aggressive tumor features. WSIs may show a high TMN stage, with evidence of extensive lymph node involvement (N stage) and possible distant metastasis (M stage). Tumors are often poorly differentiated or undifferentiated, exhibiting significant nuclear atypia and irregular mitotic figures. The presence of lymphovascular invasion (LVI) and perineural invasion (PNI) further indicates an aggressive phenotype. Additionally, extensive tumor necrosis, an infiltrative growth pattern, and desmoplastic stromal reaction are common, indicating a poor prognosis."
HNSC,"Lower survival risk in Head and Neck squamous cell carcinoma is associated with more favorable histopathological features. WSIs often reveal a lower TMN stage, such as T1, indicating a smaller tumor confined to the primary site with limited invasion into surrounding tissues. The absence of lymphovascular invasion (LVI) and perineural invasion (PNI) is a significant indicator of lower metastatic potential and better prognosis. Tumor margins are typically well-defined, with clear separation from surrounding normal tissues, suggesting limited infiltration. The tumor grade is usually low, with well-organized cell patterns and minimal nuclear atypia, reflecting a less aggressive tumor behavior. There is often a mild stromal reaction and inflammatory response, indicating a less intense interaction between the tumor and the host. Necrosis and debris are generally absent or minimal, contributing to the overall favorable prognosis.","Medium survival risk in Head and Neck squamous cell carcinoma is generally characterized by intermediate tumor features. WSIs in these cases might reveal a TMN stage around T2, where the tumor is larger than T1 but has not yet deeply invaded nearby structures. Lymphovascular invasion (LVI) and perineural invasion (PNI) might be present but less pronounced compared to higher-risk cases. Tumor margins could be moderately defined, with some areas showing infiltration. The tumor grade is typically moderate, with some nuclear atypia and irregular cell patterns, but not as severe as in high-risk cases. There may be a moderate stromal reaction and inflammatory response, suggesting an ongoing but less aggressive tumor-host interaction. Necrosis and debris might be present but are less extensive than in higher-risk scenarios.","Higher survival risk in Head and Neck squamous cell carcinoma is associated with aggressive tumor features observed in WSIs. These include advanced TMN stages, such as T3 or T4 tumors, indicating larger tumor size and deeper invasion into surrounding tissues. The presence of lymphovascular invasion (LVI) and perineural invasion (PNI) further contributes to a poor prognosis, as these features suggest that the cancer has a higher likelihood of spreading to other parts of the body. Tumor margins in these cases tend to be infiltrative rather than well-defined, and there is often a presence of significant necrosis and debris within the tumor microenvironment. Additionally, a high-grade tumor with marked nuclear atypia and disorganized cell architecture is typically observed, along with intense stromal reaction and inflammatory infiltrates, reflecting the body's response to the aggressive nature of the tumor."
KIRC,"Lower survival risk in Kidney renal clear cell carcinoma is generally associated with more favorable features in WSIs. These include a low tumor grade, with cells showing minimal nuclear atypia and smaller overall tumor size. The TMN stage is usually early, with no evidence of lymphovascular invasion (LVI) or perineural invasion (PNI). The tumor margins are well-defined, and necrosis and debris are minimal or absent. Additionally, the inflammatory response and stromal reaction are mild, suggesting a more indolent course of the disease. These characteristics indicate a greater likelihood of long-term survival, with the carcinoma being less aggressive and more responsive to therapeutic interventions.","Medium survival risk in Kidney renal clear cell carcinoma typically shows intermediate characteristics on WSIs. The tumor may present with moderate nuclear atypia and a somewhat larger size, though not as pronounced as in higher-risk cases. The TMN stage is usually intermediate, with some evidence of lymphovascular invasion (LVI) but a lower likelihood of perineural invasion (PNI). Tumor margins might be partially infiltrative, with areas of necrosis and debris present but not widespread. The inflammatory response and stromal reaction are moderate, reflecting a tumor with potential for progression but a more variable response to treatment.","Higher survival risk in Kidney renal clear cell carcinoma is typically associated with aggressive tumor characteristics in WSIs. These include a high tumor grade with pronounced nuclear atypia, larger tumor size, advanced TMN stage, and the presence of lymphovascular invasion (LVI) and perineural invasion (PNI). Additionally, infiltrative tumor margins, extensive necrosis, and significant areas of debris are common findings. The presence of an intense inflammatory response and stromal reaction further indicates a poor prognosis. These features suggest that the carcinoma is more likely to progress rapidly and be less responsive to treatment, leading to a higher risk of mortality."
KIRP,"A lower survival risk in Kidney renal papillary cell carcinoma is often associated with WSIs that display well-differentiated tumor characteristics. The tumor grade is typically low, with minimal nuclear atypia and well-organized cell patterns. Tumor size is generally small, and the TMN stage indicates early-stage disease without lymph node involvement or metastasis. The absence of lymphovascular invasion (LVI) and perineural invasion (PNI) suggests a less aggressive disease. Tumor margins are well-defined, and there is little to no necrosis observed in the tissue. The inflammatory response is mild, and the stromal reaction is minimal, reflecting a more favorable prognosis. The papillary structures are usually uniform, with thin fibrovascular cores and minimal cellular atypia.","WSIs indicative of a medium survival risk in Kidney renal papillary cell carcinoma typically show moderately aggressive features. The tumor grade might be intermediate, with some nuclear atypia but not as pronounced as in higher-risk cases. Tumor size may be moderate, and TMN stages might indicate localized disease without distant metastasis but with some regional lymph node involvement. Lymphovascular invasion (LVI) could be present but limited, and perineural invasion (PNI) might be minimal or absent. Tumor margins may be partially infiltrative, and there could be areas of necrosis, but less extensive than in higher-risk cases. The inflammatory response and stromal reaction might be moderate, indicating an intermediate prognosis. The papillary structures might display a mix of cellular patterns, with some areas of fibrosis.","A higher survival risk in Kidney renal papillary cell carcinoma can be indicated by WSIs showing aggressive pathological features. These include high tumor grade with significant nuclear atypia and pleomorphism, large tumor size, and advanced TMN stages, particularly when there is evidence of metastasis to lymph nodes or distant organs. The presence of lymphovascular invasion (LVI) and perineural invasion (PNI) also suggests a more aggressive disease with a higher survival risk. Additionally, infiltrative tumor margins, extensive necrosis, and pronounced inflammatory response are indicative of poor prognosis. Tumor heterogeneity and the presence of multiple papillary structures with thick fibrotic stroma may further suggest a higher survival risk."
LUAD,"WSIs associated with a lower survival risk of lung adenocarcinoma typically exhibit features such as a well-differentiated tumor with organized cellular architecture and low-grade histopathological patterns. The tumor is generally smaller in size and confined to early TMN stages, such as T1 or T2, without evidence of lymphovascular invasion (LVI) or perineural invasion (PNI). The tumor margins are well-defined and non-infiltrative, suggesting limited local spread. There is also a lack of necrosis, minimal inflammatory response, and a modest stromal reaction, indicating a more controlled tumor environment. The absence of metastatic spread to lymph nodes (N0) further contributes to the lower risk, enhancing the overall prognosis.","WSIs associated with a medium survival risk of lung adenocarcinoma often show moderately differentiated tumors with mixed cellular architecture and a moderate grade of histopathological patterns. The tumor size is typically larger than in high-survival-risk cases, often corresponding to TMN stages like T2 or T3. There may be some evidence of lymphovascular invasion (LVI) or perineural invasion (PNI), indicating a moderate potential for local and distant spread. Tumor margins might be partially infiltrative, suggesting a more aggressive growth pattern. The presence of necrosis and an intermediate inflammatory response with a noticeable stromal reaction further contributes to the medium survival risk. Metastasis to regional lymph nodes (N1) may be present but is not extensive, offering a prognosis that is neither poor nor highly favorable.","WSIs indicative of a higher survival risk of lung adenocarcinoma generally present with poorly differentiated tumors characterized by disorganized cellular architecture and high-grade histopathological features. The tumor is often large and corresponds to advanced TMN stages, such as T3 or T4, with significant lymphovascular invasion (LVI) and perineural invasion (PNI). The tumor margins are poorly defined and infiltrative, suggesting aggressive and extensive local invasion. There is often evidence of widespread necrosis, intense inflammatory response, and a pronounced stromal reaction, indicating an uncontrolled and hostile tumor microenvironment. Metastasis to regional lymph nodes (N2 or N3) is common, and distant metastasis may be suspected or confirmed, contributing to the lower survival prospects and overall poor prognosis."
LUSC,"WSIs indicative of a lower survival risk in lung squamous cell carcinoma usually exhibit features that suggest a more favorable prognosis. These include a low tumor grade, with well-differentiated cells that retain some of the normal tissue architecture, and minimal nuclear atypia, indicating slower and more controlled cell growth. The tumor size is generally small, and the TMN stage is low, reflecting limited invasion and a lesser extent of local or regional spread. There is typically an absence of lymphovascular invasion (LVI) and perineural invasion (PNI), meaning that the cancer cells have not yet breached key protective barriers, reducing the likelihood of metastasis. Tumor margins are often well-defined, making the tumor easier to surgically remove with clear margins. The inflammatory response is mild, and the stromal reaction is generally subdued, indicating a less aggressive tumor environment. Necrosis and tumor debris are usually minimal or absent, further supporting a more controlled and less invasive tumor behavior that correlates with a better prognosis.","WSIs associated with a medium survival risk of lung squamous cell carcinoma typically exhibit a mix of both aggressive and more contained features. The tumor grade is often moderate, with cells that show some degree of differentiation but still possess significant nuclear atypia. The tumor size is variable, usually within a moderate range, and the TMN stage is generally intermediate, reflecting limited but notable local invasion. Lymphovascular invasion (LVI) may be present but not as widespread as in high-risk cases, and perineural invasion (PNI) might be detected in some areas. The tumor margins might be somewhat irregular, indicating partial infiltration into surrounding tissues, but with some clear areas that might be surgically resectable. There is a moderate inflammatory response, and the stromal reaction is evident but not overly intense. Necrosis and tumor debris may be present but are typically less extensive than in high-risk cases, suggesting a partially aggressive but not entirely out-of-control tumor behavior.","WSIs indicative of a higher survival risk in lung squamous cell carcinoma often show a combination of aggressive features. These include high-grade tumors with poorly differentiated cells and significant nuclear atypia, indicating rapid and uncontrolled cell growth. The tumor size is typically large, with an advanced TMN stage, often showing extensive invasion into surrounding tissues and organs. Lymphovascular invasion (LVI) and perineural invasion (PNI) are commonly present, signifying that cancer cells have breached natural barriers and are more likely to spread to other parts of the body. The tumor margins are often infiltrative, lacking clear demarcation from surrounding tissues, which makes surgical removal challenging. There is also a strong inflammatory response, with dense stromal reaction, suggesting the body's attempt to fight the invasive tumor, albeit with limited success. Additionally, necrosis and the presence of debris within the tumor are common, further indicating the aggressive nature of the disease and its poor prognosis."
LIHC,"Lower survival risk in Liver hepatocellular carcinoma is generally indicated by WSIs that exhibit features consistent with early-stage disease. These images often show low TMN stages, with smaller and more localized tumors. The tumor cells typically display well-differentiated patterns with minimal nuclear atypia and a more organized cellular architecture. There is usually an absence or minimal presence of lymphovascular invasion (LVI) and perineural invasion (PNI), indicating less aggressive disease behavior. Tumor margins in these cases tend to be well-defined, with minimal infiltration into surrounding tissues. The inflammatory response is typically mild, and there is limited or no evidence of necrosis and debris. The stroma surrounding the tumor may show only slight reactive changes, reflecting a less aggressive tumor biology and a better prognosis.","Medium survival risk in Liver hepatocellular carcinoma is typically associated with WSIs that present intermediate features between aggressive and indolent tumors. These images may show moderately advanced TMN stages with medium-sized tumors that are not as extensive as those with higher risk. Tumor cells in these cases may exhibit moderate nuclear atypia and some degree of architectural distortion, but without the extensive irregularity seen in higher-risk cases. Lymphovascular invasion (LVI) and perineural invasion (PNI) may be present but are usually less extensive. The inflammatory response in these images might be noticeable but not as intense as in higher-risk cases. Additionally, the tumor margins could be partially well-defined with areas of infiltration, and there may be some necrosis and stromal reaction, but to a lesser extent compared to higher survival risk cases.","Higher survival risk in Liver hepatocellular carcinoma can be associated with whole slide images (WSIs) showing features such as advanced tumor stages, including high TMN stages with large tumor size and multiple nodules. These WSIs often exhibit poor differentiation of tumor cells, characterized by high nuclear atypia and irregular cellular architecture. The presence of lymphovascular invasion (LVI) and perineural invasion (PNI) are also indicative of a higher survival risk. Additionally, these images might reveal extensive areas of necrosis, significant tumor debris, and a pronounced inflammatory response. Tumor margins in these cases are often infiltrative, and the surrounding stroma shows marked reactive changes, which may contribute to the aggressive nature of the disease and its poor prognosis."
