project,low_risk,intermediate_risk,high_risk
STAD,"The cancer is a tubular or intestinal-type adenocarcinoma of the stomach, usually small in size, less than ~2 cm in greatest dimension. It is well to moderately differentiated with limited atypia. There is no evidence of invasion beyond the mucosa or superficial submucosa, and adjacent organs are not involved. Lymphovascular invasion and perineural invasion are absent. Surgical margins are free of carcinoma. Regional lymph nodes examined are negative for metastasis (0/any). No extracapsular extension is reported. There is no evidence of distant metastasis. Pathological AJCC stage is typically pT1 pN0 M0 (Stage IA). Biomarker and molecular testing are generally not reported or are negative for high-risk features. Mitotic activity and necrosis are minimal or not described. No treatment effect or regression score is mentioned. Additional clinically relevant remarks may include background chronic gastritis or focal intestinal metaplasia.","The cancer is a gastric adenocarcinoma, typically measuring around 2–5 cm in greatest dimension. It shows moderately to poorly differentiated histology with variable atypia. The tumor may extend into the muscularis propria or perigastric adipose tissue but without extensive adjacent organ invasion. Lymphovascular or perineural invasion may be focally present. Surgical margins are uninvolved, suggesting complete resection. A small number of regional lymph nodes (e.g., 1–2 positive among several examined) show metastasis, but extracapsular extension is not described. There is no evidence of distant metastasis. Pathological AJCC stage is most consistent with pT2–T3, pN1, M0 (Stage II). Biomarker results such as HER2, MSI, or PD-L1 may occasionally be reported with variable significance. Mitotic activity and necrosis may be present at moderate levels. Treatment effect is usually not described. Clinically, this represents a moderately advanced gastric carcinoma with limited nodal spread but resected margins.","The cancer is a poorly differentiated gastric adenocarcinoma, often measuring greater than 5 cm in greatest dimension. The tumor shows marked atypia and may exhibit high mitotic activity and necrosis. There is clear invasion through the gastric wall into adjacent organs such as pancreas, spleen, or liver. Lymphovascular invasion and perineural invasion are frequently present. Surgical margins may be close or overtly involved, raising concern for residual disease. Multiple regional lymph nodes are positive for metastasis, with possible extracapsular extension. Distant metastasis may be documented, such as peritoneal deposits or liver involvement. Pathological AJCC stage is typically pT3–T4, pN2–N3, M0–M1 (Stage III–IV). Biomarker and molecular profiles may reveal high-risk alterations (e.g., HER2 positivity, MSI-high, TP53 mutation), sometimes guiding therapy. Treatment effect, if neoadjuvant therapy was used, may be minimal with poor regression score. This represents an aggressive gastric carcinoma with advanced local invasion, nodal burden, and potential systemic spread."
SKCM,"The cancer is a cutaneous malignant melanoma, typically superficial spreading or lentigo maligna type, arising in the skin. The tumor is relatively small, less than ~1 mm in Breslow thickness or under 2 cm in greatest dimension. It is well to moderately differentiated with limited atypia, and there is no ulceration. There is no evidence of invasion beyond the superficial dermis, and adjacent subcutaneous tissue or organs are not involved. Lymphovascular invasion and perineural invasion are absent. Surgical margins are uninvolved, consistent with complete excision (R0). Sentinel lymph node biopsy, if performed, shows no nodal metastasis (0/any). Extracapsular extension is not reported. No evidence of distant metastasis is described. Pathological AJCC stage is typically pT1a pN0 M0 (Stage IA). Biomarker results such as BRAF, NRAS, or KIT are not reported or negative for high-risk variants. Mitotic activity is minimal, necrosis absent, and Ki-67 low. No treatment effect or regression score is described. Clinically, this represents a thin, localized melanoma completely excised with no nodal or systemic spread.","The cancer is a malignant melanoma of the skin, commonly nodular or superficial spreading subtype. The tumor is of moderate size, typically 1–4 mm in Breslow thickness or about 2–5 cm in greatest dimension. It shows moderate to marked atypia, with ulceration present in some cases. The lesion extends into the deep dermis or superficial subcutaneous fat but without extensive invasion of adjacent structures. Focal lymphovascular or perineural invasion may be present. Surgical margins are free of tumor following wide excision. A small number of sentinel or regional lymph nodes are positive for metastasis (e.g., 1–3 positive among several examined), but extracapsular extension is not documented. There is no evidence of distant metastasis. Pathological AJCC stage is most consistent with pT2–T3, pN1a–N2a, M0 (Stage II–III depending on nodal burden). Biomarker results such as BRAF V600 mutation or NRAS alterations may be reported and guide targeted therapy. Mitotic activity is moderate to high, and necrosis may be present. Treatment effect after immunotherapy or targeted therapy is not typically described at this stage. Clinically, this represents an intermediate-thickness melanoma with early nodal involvement but complete surgical resection.","The cancer is a poorly differentiated cutaneous melanoma, often nodular or desmoplastic type, measuring greater than 4 mm in Breslow thickness or exceeding 5 cm in greatest dimension. It is poorly differentiated with extensive atypia, ulceration, and very high mitotic activity. There is clear invasion into deep subcutaneous tissue, skeletal muscle, or adjacent organs such as lymph nodes, fascia, or bone. Lymphovascular and perineural invasion are frequently present. Surgical margins may be close or involved, raising concern for residual disease. Multiple regional lymph nodes are positive for metastasis, often with extracapsular extension. Distant metastasis is common, involving sites such as lung, liver, or brain. Pathological AJCC stage is typically pT4b, pN2–N3, M1 (Stage III–IV). Biomarker testing may reveal high-risk variants such as BRAF V600E, NRAS, or KIT mutations, often relevant for systemic therapy. Proliferative indices such as Ki-67 are markedly elevated, with necrosis frequently described. Treatment effect may be poor in cases receiving neoadjuvant therapy, with minimal regression. Clinically, this represents an aggressive, thick melanoma with advanced local invasion, multiple nodal metastases, and often systemic spread."
LUAD,"The cancer is an adenocarcinoma of the lung, usually presenting as a small, solitary nodule measuring less than ~2 cm in greatest dimension. It is well to moderately differentiated with limited atypia. There is no evidence of visceral pleural invasion, chest wall involvement, or invasion into mediastinal structures. Lymphovascular and perineural invasion are absent. Surgical margins are uninvolved, consistent with complete resection. Regional lymph nodes examined are negative for metastasis (0/any). Extracapsular extension is not reported. No evidence of distant metastasis is present. Pathological AJCC stage is typically pT1a–T1b pN0 M0 (Stage IA). Biomarker or immunohistochemistry results, if reported, may show low PD-L1 expression and no abnormality in MSI/MMR. Molecular profiling often demonstrates driver mutations such as EGFR or ALK, which may guide targeted therapy. Mitotic activity and necrosis are minimal. No treatment effect or regression score is described. Clinically relevant remarks may include background lung parenchyma with emphysema or chronic inflammation.","The cancer is a moderately sized lung adenocarcinoma, generally between 2–5 cm in greatest dimension. It shows moderate to poor differentiation with variable glandular patterns (e.g., acinar, papillary, micropapillary). The tumor may extend into the visceral pleura or proximal bronchi but without extensive invasion of mediastinal organs. Lymphovascular invasion may be present, and perineural invasion may occasionally be seen. Surgical margins remain free of tumor. Regional lymph node dissection reveals a small number of positive nodes (e.g., 1–3 positive among multiple examined). Extracapsular extension is not described. No distant metastasis is evident. Pathological AJCC stage is typically pT2–T3, pN1, M0 (Stage II). Biomarker testing may show intermediate PD-L1 expression, and molecular alterations such as KRAS mutations may be present. Mitotic activity and focal necrosis may be noted. Treatment effect is usually not described unless neoadjuvant therapy was given. Clinically, this represents a moderately advanced adenocarcinoma with limited nodal spread but complete surgical resection.","The cancer is a large, poorly differentiated adenocarcinoma of the lung, often exceeding 5 cm in size. The tumor shows marked atypia, high mitotic activity, and necrosis. There is clear invasion into adjacent structures such as the chest wall, diaphragm, mediastinum, or pericardium. Lymphovascular invasion and perineural invasion are frequently present. Surgical margins may be close or overtly involved, raising concern for residual disease. Multiple regional lymph nodes are positive for metastasis (often >3), and extracapsular extension may be seen. Distant metastasis may be documented, including brain, bone, or liver lesions. Pathological AJCC stage is typically pT3–T4, pN2–N3, M0–M1 (Stage III–IV). Biomarker and molecular testing may reveal high-risk features such as TP53 mutations, high PD-L1 expression, or EGFR/KRAS/BRAF/ALK/ROS1/NTRK alterations, often relevant for targeted or immunotherapy. Proliferative indices are high, with brisk mitotic activity and extensive necrosis. If neoadjuvant therapy was given, minimal regression or poor response may be noted. Clinically, this represents an aggressive adenocarcinoma with advanced local invasion, nodal burden, and systemic spread."
LUSC,"The cancer is a squamous cell carcinoma of the lung, usually arising in a central bronchus or lobar bronchus. The tumor is relatively small, generally less than ~2 cm in greatest dimension. It is well to moderately differentiated with preserved keratinization and limited atypia. There is no evidence of invasion into adjacent structures such as chest wall, pleura, or mediastinum. Lymphovascular invasion and perineural invasion are absent. Surgical margins, including bronchial and parenchymal, are uninvolved. Regional lymph nodes examined are negative for metastasis (0/any), and no extracapsular extension is present. There is no evidence of distant metastasis. Pathological AJCC stage is pT1a–b pN0 M0 (Stage IA). Biomarker and molecular testing are usually not contributory; PD-L1 expression may be low or unreported. Mitotic activity and necrosis are minimal or not described. Treatment effect or regression score is not mentioned. Clinically, this represents an early-stage, resected lung squamous carcinoma with excellent prognosis.","The cancer is a moderately to poorly differentiated squamous cell carcinoma of the lung, measuring around 2–5 cm in greatest dimension. The tumor invades into the visceral pleura or proximal bronchus but without extensive invasion into adjacent chest wall, diaphragm, or mediastinal structures. Lymphovascular or perineural invasion may be present. Surgical margins are negative for carcinoma. A limited number of regional lymph nodes (e.g., 1–3 positive among several examined) show metastasis, but extracapsular extension is not described. There is no evidence of distant metastasis. Pathological AJCC stage is typically pT2–T3 pN1 M0 (Stage II). Biomarker results such as PD-L1 expression or p53 alterations may be variably reported, but no targetable mutations are typical in LUSC. Mitotic activity and necrosis are moderately increased. Treatment effect is generally not assessed unless neoadjuvant therapy was given. Clinically, this represents a locally advanced squamous carcinoma with limited nodal involvement and resectable margins.","The cancer is a poorly differentiated squamous cell carcinoma of the lung, often exceeding 5 cm in size. It shows marked atypia, frequent mitotic activity, and extensive necrosis. There is invasion through the visceral pleura into adjacent structures such as chest wall, pericardium, mediastinum, or diaphragm. Lymphovascular invasion and perineural invasion are commonly present. Surgical margins may be close or overtly involved, raising concern for residual disease. Multiple regional lymph nodes are positive for metastasis, with extracapsular extension frequently observed. Distant metastasis may be present, such as contralateral lung nodules, pleural dissemination, or liver/adrenal involvement. Pathological AJCC stage is usually pT3–T4 pN2–N3 M0–M1 (Stage III–IV). Biomarker analysis may reveal high PD-L1 expression but typically no actionable driver mutations (EGFR/ALK negative). Mitotic index and necrosis are high. Treatment effect, if neoadjuvant therapy was given, is often poor. Clinically, this represents an aggressive, advanced squamous carcinoma with high metastatic burden and poor prognosis."
GBMLGG,"The cancer is a diffuse low-grade glioma of the brain, often involving the frontal or temporal lobe, measuring less than ~3 cm in greatest dimension. It is histologically low grade (WHO grade II), with well-differentiated glial features, limited atypia, and low mitotic activity. There is no frank necrosis or microvascular proliferation. The lesion shows infiltrative margins within brain parenchyma but no extension into deep structures such as the basal ganglia or brainstem. Lymphovascular or perineural invasion is not applicable (NA), and surgical margins may not be fully assessable due to diffuse infiltration, but gross total resection is achieved with no overt residual tumor described. Lymph nodes and extracapsular extension are NA; distant metastasis is not identified. AJCC staging is not typically applied, but the equivalent profile corresponds to WHO grade II glioma. Biomarker studies often show IDH1/2 mutation, ATRX loss, and intact 1p/19q codeletion (oligodendroglioma) or no deletion (astrocytoma); MGMT promoter is frequently methylated. Mitotic activity is low, with Ki-67 <5%. No treatment effect or therapy response is applicable. Clinically, this represents a small, well-differentiated IDH-mutant low-grade glioma with favorable prognosis.","The cancer is a diffuse astrocytoma or oligodendroglioma of the brain, typically measuring 3–6 cm. It is histologically intermediate grade (WHO grade III), with moderate atypia and increased mitotic activity, sometimes with microvascular proliferation but no extensive necrosis. The tumor infiltrates into adjacent brain tissue, potentially involving eloquent cortex, corpus callosum, or ventricular lining, but without clear extracranial spread. LVI/PNI are NA. Margins are difficult to assess due to infiltrative growth, but subtotal resection is described with residual tumor. Lymph nodes and extracapsular extension are NA; distant metastasis is absent. AJCC staging not applied; corresponds to WHO grade III glioma. Biomarkers may reveal IDH mutation with variable ATRX and TP53 alterations, 1p/19q codeletion in oligodendroglioma, or MGMT promoter methylation with partial predictive value. Mitotic activity is moderate, with Ki-67 index ~5–15%. Necrosis is focal or minimal. Treatment effect is usually not described, though some cases may note partial response. This represents a moderately aggressive IDH-mutant or IDH-wildtype anaplastic glioma with infiltrative margins and incomplete resection.","The cancer is a glioblastoma of the brain, usually greater than 6 cm or involving multiple lobes. It is WHO grade IV, poorly differentiated, with marked atypia, brisk mitotic activity, extensive necrosis, and microvascular proliferation. The tumor shows aggressive infiltration into adjacent structures such as corpus callosum, thalamus, or brainstem, sometimes crossing midline (“butterfly” pattern). LVI/PNI are NA, but the diffuse infiltrative margin precludes complete surgical resection; margins are essentially always involved. Lymph nodes and extracapsular extension are NA; distant metastasis is rare but leptomeningeal spread may occur. AJCC staging is not applied; corresponds to WHO grade IV glioblastoma. Biomarkers may reveal IDH-wildtype status, MGMT promoter unmethylated, frequent TERT promoter or EGFR amplification, PTEN or TP53 mutations. Proliferative indices are high, with Ki-67 >20–30%. Treatment effect, if post-therapy, often shows minimal regression or pseudoprogression. This represents an aggressive glioblastoma with extensive necrosis, poor biomarker profile, incomplete resection, and unfavorable prognosis."
COADREAD,"The cancer is a well to moderately differentiated adenocarcinoma of the colon or rectum, usually small in size (≤2 cm). The tumor is confined to the mucosa or submucosa without invasion into the muscularis propria or adjacent tissues. Lymphovascular invasion and perineural invasion are absent. Surgical margins, including proximal, distal, and radial, are uninvolved. Regional lymph nodes examined are negative for metastasis (0/any). Extracapsular extension is not described. No distant metastasis is identified. The pathological AJCC stage is typically pT1–T2, pN0, M0 (Stage I). Biomarker testing (e.g., MSI-high, MMR deficiency) may occasionally be reported, often indicating favorable prognosis. No molecular mutations are described. Mitotic activity and necrosis are minimal or absent. Treatment effect is not mentioned. Clinically, this represents an early-stage, localized colorectal carcinoma with complete resection and excellent prognosis.","The cancer is a moderately differentiated colorectal adenocarcinoma, typically measuring 2–5 cm in greatest dimension. The tumor invades into the muscularis propria and may extend into the pericolic or perirectal fat but without direct invasion of adjacent organs. Lymphovascular or perineural invasion may be focally present. Surgical margins are free of tumor. A small number of regional lymph nodes (e.g., 1–3 positive among several examined) show metastatic carcinoma, without reported extracapsular extension. No distant metastasis is described. The pathological AJCC stage is most consistent with pT3, pN1, M0 (Stage IIIB). Biomarker results such as MSI status, p53, or KRAS mutations may be reported with variable significance. Mitotic activity and necrosis may be present at moderate levels. No treatment regression score is provided. Clinically, this represents a regionally advanced colorectal carcinoma with limited nodal spread but negative resection margins.","The cancer is a poorly differentiated colorectal adenocarcinoma, often larger than 5 cm. The tumor shows marked atypia and invades through the bowel wall into adjacent structures such as peritoneum, bladder, or small intestine. Lymphovascular and perineural invasion are frequently present. Surgical margins may be close or overtly involved, particularly radial margins in rectal cases. Multiple regional lymph nodes are positive for metastasis (≥4), often with extracapsular extension. Distant metastases may be documented, commonly to the liver, lungs, or peritoneum. The pathological AJCC stage is typically pT4, pN2, M0–M1 (Stage IIIC–IV). Biomarker and molecular profiles may reveal high-risk features such as KRAS, NRAS, or BRAF V600E mutations, or p53 alterations; MSI status may be microsatellite stable (MSS), indicating poorer prognosis. Mitotic activity and necrosis are extensive. If neoadjuvant therapy was administered, minimal regression or poor response is often observed. Clinically, this represents an aggressive colorectal carcinoma with advanced local invasion, significant nodal burden, and systemic spread."
UCEC,"The cancer is an endometrioid adenocarcinoma of the endometrium, usually small (<2 cm or confined to the endometrium). It is well differentiated (FIGO grade 1) with minimal atypia. There is no evidence of myometrial invasion, cervical stromal involvement, or extension to adnexa/parametrium. Lymphovascular and perineural invasion are absent. Surgical margins are negative. Regional lymph nodes examined are negative for metastasis (0/any). No extracapsular extension is reported. There is no evidence of distant metastasis. Pathological AJCC stage is pT1a pN0 M0 (Stage IA). Immunohistochemistry may show hormone receptor positivity (ER/PR+) and intact mismatch repair (MMR). Molecular testing is not reported or unremarkable. Mitotic activity is low and necrosis is absent. No treatment effect or regression score is described. Additional remarks may include background atypical hyperplasia or endometrial intraepithelial neoplasia.","The cancer is an endometrioid adenocarcinoma of the endometrium, often measuring 2–4 cm. It is moderately differentiated (FIGO grade 2) with variable atypia. The tumor invades into the myometrium (>50% thickness) or may extend to the cervical stroma, but without adnexal or parametrial involvement. Lymphovascular invasion is focally present; perineural invasion is uncommon. Surgical margins are negative. A small number of pelvic or para-aortic lymph nodes are positive for metastasis (e.g., 1–2 positive nodes), without extracapsular extension. There is no evidence of distant metastasis. Pathological AJCC stage is typically pT1b–pT2, pN1, M0 (Stage II–IIIA). Immunohistochemistry may reveal variable ER/PR expression, focal p53 abnormalities, or mismatch repair deficiency (MSI-H). Molecular alterations such as PTEN or PIK3CA mutations may be reported. Mitotic activity is moderate, and focal necrosis may be described. Treatment effect, if present, shows partial regression. This represents a moderately advanced, node-positive but margin-negative endometrial carcinoma.","The cancer is a high-grade carcinoma of the endometrium (FIGO grade 3 endometrioid, serous, or clear cell histology), often larger than 4 cm. It is poorly differentiated with marked atypia and frequent mitoses. The tumor shows deep myometrial invasion with extension into cervical stroma, adnexa, parametrial tissue, or even bladder/rectal wall. Lymphovascular invasion and perineural invasion are present. Surgical margins may be close or involved. Multiple pelvic and/or para-aortic lymph nodes are positive for metastasis, often with extracapsular extension. Distant metastases may be documented, such as peritoneal implants or lung nodules. Pathological AJCC stage is typically pT3–T4, pN2–3, M0–1 (Stage IIIB–IV). Immunohistochemistry often shows aberrant p53 staining, loss of MMR proteins, or strong p16 expression. Molecular profiling may reveal high-risk alterations such as TP53 mutations, POLE-mutated hypermutated status, or HER2 amplification (especially in serous histology). Necrosis is prominent and mitotic activity is high. Treatment effect may be poor or absent after neoadjuvant therapy. Clinically, this represents an aggressive uterine carcinoma with advanced local invasion, nodal burden, and systemic spread risk."
BLCA,"The cancer is a urothelial carcinoma of the urinary bladder, usually small, less than ~2 cm in greatest dimension. It is low grade or well differentiated, with limited atypia. The tumor is confined to the mucosa or lamina propria (pTa or pT1) without invasion into muscularis propria or adjacent organs. No lymphovascular or perineural invasion is identified. Surgical margins are negative for tumor. Regional lymph nodes, if examined, are negative for metastasis (0/any), and no extracapsular extension is described. There is no evidence of distant metastasis. The pathological AJCC stage is generally pTa or pT1, pN0, M0 (Stage 0a/I). Biomarkers such as p53, Ki-67, or PD-L1 may be low or not reported. Molecular testing is typically not provided. Mitotic activity and necrosis are minimal or absent. No treatment effect is noted. Additional clinically relevant findings may include background cystitis or urothelial dysplasia.","The cancer is a urothelial carcinoma of the bladder, typically measuring 2–5 cm in greatest dimension. It shows moderately differentiated or high-grade histology with significant atypia. The tumor invades into the muscularis propria (pT2a–b) but does not extend into perivesical fat or adjacent organs. Lymphovascular invasion or perineural invasion may be present focally. Surgical margins are uninvolved. A limited number of regional lymph nodes (e.g., 1–2 positive) may harbor metastasis, but no extracapsular extension is reported. No distant metastasis is documented. Pathological AJCC stage is usually pT2 pN0–N1 M0 (Stage II–IIIa). Biomarker testing such as PD-L1 or Ki-67 may show increased proliferation, while molecular results (e.g., FGFR3, TP53) may be variably reported. Mitotic activity is increased, and necrosis may be focal. Treatment effect, if neoadjuvant therapy was given, may show partial regression. Clinically, this represents a muscle-invasive but organ-confined bladder carcinoma with limited nodal spread and negative margins.","The cancer is a high-grade, poorly differentiated urothelial carcinoma of the bladder, often large (>5 cm) with extensive atypia, necrosis, and high mitotic activity. The tumor invades beyond the muscularis propria into perivesical fat, adjacent organs such as prostate, uterus, or pelvic wall, or even beyond (pT3–T4). Lymphovascular invasion and perineural invasion are frequently present. Surgical margins may be close or positive, particularly at the deep or soft tissue margins. Multiple regional lymph nodes are positive for metastasis, with possible extracapsular extension. Distant metastasis may be documented (e.g., lung, liver, bone). Pathological AJCC stage is typically pT3–T4, pN2–N3, M0–M1 (Stage IIIb–IV). Biomarker analysis may reveal high-risk profiles such as high Ki-67 index, aberrant p53, or PD-L1 overexpression. Molecular findings may include deleterious mutations in TP53, RB1, or DNA damage response pathways. Treatment effect after neoadjuvant chemotherapy may be poor, with residual extensive viable tumor. Clinically, this represents an aggressive bladder carcinoma with deep invasion, nodal burden, and systemic spread risk."
BRCA,"The cancer is an invasive ductal carcinoma of the breast, typically small in size, less than ~2 cm in greatest dimension. It is well to moderately differentiated (grade 1–2) with limited atypia. The tumor is confined to the breast parenchyma without invasion into skeletal muscle, chest wall, or skin. Lymphovascular invasion and perineural invasion are absent. Surgical margins are uninvolved, with clear distances from the tumor. Sentinel or axillary lymph nodes examined are negative for metastasis (0/any). Extracapsular extension is not described. There is no evidence of distant metastasis. Pathological AJCC stage is most consistent with pT1 pN0 M0 (Stage I). Immunohistochemistry often shows hormone receptor–positive (ER+/PR+) and HER2-negative status, with low to intermediate Ki-67 index. No molecular testing is usually reported. Mitotic activity and necrosis are minimal. No treatment effect or regression score is described. Additional findings may include fibrocystic change or benign breast tissue in the background. This represents an early-stage, hormone receptor–positive breast carcinoma with negative nodes and uninvolved margins.","The cancer is an invasive ductal carcinoma of the breast, measuring approximately 2–5 cm in greatest dimension. It is moderately to poorly differentiated (grade 2–3) with variable atypia. The tumor invades into surrounding breast stroma and may approach but does not extensively involve the chest wall or skin. Focal lymphovascular invasion may be present, but perineural invasion is uncommon. Surgical margins are negative, though may be close (<0.5 cm). A limited number of axillary lymph nodes (e.g., 1–3 positive among multiple examined) show metastatic carcinoma, without evidence of extracapsular extension. No distant metastasis is documented. Pathological AJCC stage is typically pT2 pN1 M0 (Stage II). Immunohistochemistry may show ER+/PR+ or HER2-positive phenotype, with Ki-67 index in the intermediate to high range. Molecular alterations such as TP53 or PIK3CA mutations may occasionally be reported. Mitotic activity and necrosis are moderate. No treatment effect or regression score is described. Clinically, this represents a moderately advanced breast carcinoma with limited nodal involvement but resected margins.","The cancer is an invasive ductal carcinoma of the breast, often larger than 5 cm in greatest dimension. It is poorly differentiated (grade 3) with extensive atypia and high mitotic activity. The tumor shows invasion into adjacent structures, including chest wall, skeletal muscle, or overlying skin. Lymphovascular and perineural invasion are frequently present. Surgical margins may be close or overtly involved, raising concern for residual disease. Multiple axillary or regional lymph nodes (≥4 positive) are involved by metastatic carcinoma, and extracapsular extension may be present. Distant metastasis (e.g., bone, lung, liver) may be documented. Pathological AJCC stage is consistent with pT3–T4, pN2–N3, M0–M1 (Stage III–IV). Immunohistochemistry often reveals aggressive profiles, such as triple-negative phenotype (ER–, PR–, HER2–) or HER2 amplification with high Ki-67 index. Molecular testing may identify high-risk variants (e.g., BRCA1/2, TP53 mutations). Mitotic activity is brisk, and necrosis is common. If neoadjuvant therapy was given, treatment effect is often minimal with poor regression score. Clinically, this represents an advanced breast carcinoma with aggressive biology, heavy nodal burden, and potential systemic spread."
HNSC,"The cancer is a squamous cell carcinoma of the head and neck region (e.g., oral cavity, oropharynx, or larynx), usually small in size, less than ~2 cm in greatest dimension. It is well differentiated with limited atypia. There is no evidence of invasion into adjacent structures such as cartilage, bone, or soft tissues beyond the mucosa. Lymphovascular and perineural invasion are absent. Surgical margins are uninvolved. Regional lymph nodes are either not examined or show no evidence of metastasis (0/any). Extracapsular extension is not reported. No distant metastasis is identified. Pathological AJCC stage is typically pT1 pN0 M0 (Stage I). Biomarker testing may reveal p16 positivity in oropharyngeal primaries, associated with favorable prognosis. No molecular test results are described. Mitotic activity and necrosis are minimal or not reported. No therapy response or regression score is mentioned. Additional remarks may include background dysplasia or carcinoma in situ adjacent to the main lesion.","The cancer is a squamous cell carcinoma of the head and neck, measuring approximately 2–4 cm in greatest dimension. It is moderately differentiated with variable atypia. The tumor may invade into adjacent soft tissues, such as muscle or minor salivary glands, but without gross extension into bone or major cartilage. Focal lymphovascular invasion or perineural invasion may be present. Surgical margins are free of tumor, though clearance may be close. Regional lymph node dissection retrieves multiple nodes, with a small number positive for metastasis (e.g., 1–2 positive nodes). Extracapsular extension is not identified. No distant metastasis is described. Pathological AJCC stage is most consistent with pT2–T3, pN1, M0 (Stage II–III). Biomarker testing may show p16 positivity in oropharyngeal primaries, but results vary. Mitotic activity and necrosis are described at moderate levels. Treatment effect is not mentioned. Clinically, this represents a moderately advanced squamous cell carcinoma with limited nodal involvement but negative surgical margins.","The cancer is a poorly differentiated squamous cell carcinoma of the head and neck, usually large, greater than 4 cm in greatest dimension. It demonstrates marked atypia, high mitotic activity, and necrosis. There is clear evidence of invasion into adjacent structures such as the mandible, maxilla, thyroid cartilage, base of tongue, or skull base. Lymphovascular invasion and perineural invasion are frequently present. Surgical margins may be close or overtly involved. Regional lymph node metastases are extensive, with multiple nodes positive, often showing extracapsular extension. Distant metastasis may be present, such as to the lung or bone. Pathological AJCC stage is typically pT3–T4, pN2–N3, M0–M1 (Stage III–IV). Biomarker results may indicate high-risk features such as p16 negativity in oropharyngeal tumors, TP53 mutation, or PD-L1 expression. Molecular test results, if available, may identify additional alterations. Treatment effect, when present after chemoradiation or induction therapy, is often minimal with poor regression score. This represents an aggressive squamous cell carcinoma with advanced local invasion, significant nodal burden, and potential systemic spread."
