project,low_risk,intermediate_risk,high_risk
STAD,"The gastric tumor is relatively small, generally less than about 2 cm in greatest dimension. It is well to moderately differentiated with limited atypia. No evidence of invasion into the gastric wall beyond superficial layers or into adjacent organs is identified. Regional lymph nodes are negative for metastasis. Resection margins are uninvolved, consistent with complete removal (R0).","The gastric tumor is of moderate size, typically around 2–5 cm in greatest dimension. It shows moderately to poorly differentiated features, with variable atypia. There may be limited extension into the muscularis propria or perigastric fat but without extensive organ invasion. A small number of perigastric lymph nodes are positive for metastasis, indicating regional spread. Surgical margins remain free of tumor, suggesting complete resection.","The gastric tumor is large, usually greater than 5 cm in size. It is poorly differentiated, often with extensive atypia. There is clear evidence of invasion through the gastric wall into adjacent organs (such as pancreas, spleen, or liver). Multiple regional lymph nodes are positive for metastatic carcinoma, reflecting advanced spread. Surgical margins may be close or involved, raising concern for residual disease."
SKCM,"The melanoma is relatively small, generally less than about 1 mm in Breslow thickness or under 2 cm in greatest dimension. It shows limited atypia with relatively preserved maturation. No evidence of invasion beyond the superficial dermis or into adjacent subcutaneous tissue is identified. Regional lymph nodes are negative for metastasis. Surgical margins are uninvolved, consistent with complete removal (R0).","The melanoma is of moderate size, typically 1–4 mm in Breslow thickness or about 2–5 cm in greatest dimension. It displays moderate to marked atypia, with partial loss of maturation. There may be focal extension into the deep dermis or subcutaneous fat but without extensive invasion of adjacent structures. A small number of sentinel or regional lymph nodes are positive for metastasis, indicating early spread. Surgical margins remain free of tumor, suggesting complete resection.","The melanoma is large, usually greater than 4 mm in Breslow thickness or exceeding 5 cm in greatest dimension. It is poorly differentiated with extensive atypia and high mitotic activity. There is clear evidence of invasion into deep subcutaneous tissue, skeletal muscle, or adjacent organs. Multiple regional lymph nodes are positive for metastatic melanoma, reflecting advanced disease spread. Surgical margins may be close or involved, raising concern for residual disease."
LUAD,"The pulmonary tumor is relatively small, generally less than about 2 cm in greatest dimension. It is well to moderately differentiated with limited nuclear atypia. No evidence of invasion into the pleura, chest wall, or other adjacent structures is identified. Regional lymph nodes are negative for metastasis. Resection margins are uninvolved, consistent with complete removal (R0).","The pulmonary tumor is of moderate size, typically around 2–5 cm in greatest dimension. It shows moderately to poorly differentiated histology, with variable atypia and glandular disorganization. There may be focal extension into the visceral pleura or peribronchial tissues but without extensive invasion of adjacent organs. A small number of peribronchial or hilar lymph nodes are positive for metastasis, indicating regional spread. Surgical margins remain free of tumor, suggesting complete resection.","The pulmonary tumor is large, usually greater than 5 cm in size. It is poorly differentiated, often with extensive atypia and high mitotic activity. There is clear evidence of invasion into adjacent structures such as the chest wall, mediastinum, or diaphragm. Multiple regional lymph nodes are positive for metastatic carcinoma, reflecting advanced spread. Surgical margins may be close or involved, raising concern for residual disease."
LUSC,"The squamous cell carcinoma of the lung is relatively small, generally less than about 2 cm in greatest dimension. It is well to moderately differentiated, with keratinization and limited nuclear atypia. No evidence of invasion into the pleura, chest wall, or mediastinal structures is identified. Regional lymph nodes are negative for metastasis. Resection margins are uninvolved, consistent with complete removal (R0).","The pulmonary squamous tumor is of moderate size, typically around 2–5 cm in greatest dimension. It shows moderately to poorly differentiated morphology, with variable keratinization and marked atypia. There may be focal invasion into the visceral pleura or peribronchial soft tissue but without extensive spread to adjacent organs. A small number of peribronchial or hilar lymph nodes are positive for metastasis, indicating regional disease. Surgical margins remain free of tumor, suggesting complete resection.","The squamous carcinoma is large, usually greater than 5 cm in size. It is poorly differentiated, often with extensive atypia and absent keratinization. There is clear evidence of invasion into adjacent structures such as the chest wall, mediastinum, or diaphragm. Multiple regional lymph nodes are positive for metastatic squamous carcinoma, reflecting advanced spread. Surgical margins may be close or involved, raising concern for residual disease."
GBMLGG,"The glioma is relatively small, generally less than about 2 cm in greatest dimension. It shows low to moderate cellularity with well-differentiated features and limited atypia. No evidence of invasion into adjacent brain structures or leptomeninges is identified. Lymph node metastasis is not typically observed in gliomas. Resection margins are uninvolved, consistent with complete removal (R0).","The tumor is of moderate size, typically around 2–5 cm in greatest dimension. It demonstrates moderately to poorly differentiated histology with increased cellular atypia and mitotic activity. There may be focal infiltration into surrounding white matter or extension toward the ventricular system, but without gross invasion of adjacent organs. Lymph node metastasis is not a common feature of gliomas. Surgical margins remain free of tumor, suggesting complete resection.","The glioma is large, usually greater than 5 cm in size. It is poorly differentiated with extensive atypia, high mitotic rate, and often necrosis. There is clear evidence of infiltration into adjacent brain regions, such as deep white matter, ventricles, or meninges, and in some cases extension across the corpus callosum. Lymph node metastasis is exceedingly rare but the tumor demonstrates locally aggressive spread. Surgical margins may be close or involved, raising concern for residual disease."
COADREAD_bak,"The colorectal tumor is relatively small, generally less than about 2 cm in greatest dimension. It is well to moderately differentiated with preserved glandular architecture and limited atypia. No evidence of invasion beyond the mucosa or superficial submucosa into deeper layers of the bowel wall is identified. Regional lymph nodes are negative for metastasis. Resection margins are uninvolved, consistent with complete removal (R0).","The colorectal tumor is of moderate size, typically around 2–5 cm in greatest dimension. It shows moderately to poorly differentiated features, with variable gland formation and increased atypia. There may be focal extension into the muscularis propria or pericolorectal fat but without extensive invasion of adjacent organs. A small number of regional lymph nodes are positive for metastasis, indicating limited spread. Surgical margins remain free of tumor, suggesting complete resection.","The colorectal tumor is large, usually greater than 5 cm in size. It is poorly differentiated, often with extensive atypia and loss of glandular architecture. There is clear evidence of invasion through the full thickness of the bowel wall into adjacent organs or structures (such as bladder, small intestine, or abdominal wall). Multiple regional lymph nodes are positive for metastatic carcinoma, reflecting advanced disease spread. Surgical margins may be close or involved, raising concern for residual disease."
UCEC,"The endometrial tumor is relatively small, generally less than about 2 cm in greatest dimension. It is well to moderately differentiated with preserved glandular architecture and limited atypia. No evidence of invasion beyond the superficial myometrium or into adjacent tissues is identified. Regional lymph nodes are negative for metastasis. Resection margins are uninvolved, consistent with complete removal (R0).","The endometrial tumor is of moderate size, typically around 2–5 cm in greatest dimension. It shows moderately to poorly differentiated morphology, with variable gland formation and increased nuclear atypia. There may be focal invasion into the deep myometrium or cervical stroma but without extensive spread to extrauterine organs. A small number of pelvic or para-aortic lymph nodes are positive for metastasis, indicating regional spread. Surgical margins remain free of tumor, suggesting complete resection.","The endometrial tumor is large, usually greater than 5 cm in size. It is poorly differentiated, often with solid growth, marked atypia, and high mitotic activity. There is clear evidence of invasion through the full myometrial thickness into adjacent structures such as the serosa, bladder, or rectum. Multiple pelvic or para-aortic lymph nodes are positive for metastatic carcinoma, reflecting advanced spread. Surgical margins may be close or involved, raising concern for residual disease."
BLCA,"The bladder carcinoma is relatively small, generally less than about 2 cm in greatest dimension. It is well to moderately differentiated with preserved urothelial architecture and limited atypia. No evidence of invasion beyond the lamina propria or into the muscularis propria is identified. Regional lymph nodes are negative for metastasis. Resection margins are uninvolved, consistent with complete removal (R0).","The bladder tumor is of moderate size, typically around 2–5 cm in greatest dimension. It shows moderately to poorly differentiated morphology, with variable nuclear atypia. There may be focal extension into the muscularis propria but without extensive spread to perivesical tissues or adjacent organs. A small number of regional lymph nodes are positive for metastasis, indicating limited spread. Surgical margins remain free of tumor, suggesting complete resection.","The bladder carcinoma is large, usually greater than 5 cm in size. It is poorly differentiated, often with extensive atypia and loss of urothelial features. There is clear evidence of invasion through the bladder wall into perivesical fat or adjacent pelvic organs such as the prostate, uterus, or pelvic wall. Multiple regional lymph nodes are positive for metastatic carcinoma, reflecting advanced disease spread. Surgical margins may be close or involved, raising concern for residual disease."
BRCA,"The breast carcinoma is relatively small, generally less than about 2 cm in greatest dimension. It is well to moderately differentiated with preserved glandular features and limited atypia. No evidence of invasion into adjacent breast structures, chest wall, or skin is identified. Regional lymph nodes are negative for metastasis. Resection margins are uninvolved, consistent with complete removal (R0).","The breast tumor is of moderate size, typically around 2–5 cm in greatest dimension. It shows moderately to poorly differentiated morphology, with increased nuclear atypia and partial loss of glandular formation. There may be focal extension into surrounding adipose tissue or minor involvement of the skin but without gross chest wall invasion. A small number of axillary lymph nodes are positive for metastasis, indicating regional spread. Surgical margins remain free of tumor, suggesting complete resection.","The breast carcinoma is large, usually greater than 5 cm in size. It is poorly differentiated, often with extensive atypia, necrosis, and loss of glandular structure. There is clear evidence of invasion into the chest wall, skin, or adjacent organs. Multiple axillary or internal mammary lymph nodes are positive for metastatic carcinoma, reflecting advanced disease spread. Surgical margins may be close or involved, raising concern for residual disease."
HNSC,"The squamous carcinoma in the head and neck region is relatively small, generally less than about 2 cm in greatest dimension. It is well to moderately differentiated with keratinization and limited atypia. No evidence of invasion into adjacent structures such as cartilage, bone, or soft tissue is identified. Regional lymph nodes are negative for metastasis. Resection margins are uninvolved, consistent with complete removal (R0).","The head and neck tumor is of moderate size, typically around 2–5 cm in greatest dimension. It shows moderately to poorly differentiated morphology, with increased atypia and reduced keratinization. There may be focal extension into soft tissues or cartilage but without gross invasion of bone or deep organ structures. A small number of cervical lymph nodes are positive for metastasis, indicating regional spread. Surgical margins remain free of tumor, suggesting complete resection.","The squamous carcinoma is large, usually greater than 5 cm in size. It is poorly differentiated, often with extensive atypia, necrosis, and absent keratinization. There is clear evidence of invasion into adjacent organs or structures such as the larynx, pharynx, thyroid cartilage, mandible, or skull base. Multiple cervical lymph nodes are positive for metastatic carcinoma, reflecting advanced spread. Surgical margins may be close or involved, raising concern for residual disease."
